FEATURE;IMPORTÂNCIA
LAG_01;5305.64
LAG_12;247.87
LAG_06;175.26
LAG_05;168.66
LAG_11;149.01
LAG_02;137.78
COVID;126.43
LAG_03;125.84
FÉRIAS;106.17
MÊS_mar;105.71
TEMP_MIN_ACC_MENS;70.56
TEMP_MÉD_ACC_MENS;68.51
LAG_04;66.97
MÊS_fev;65.18
LAG_08;63.74
TEMP_MÉD_MÉD_MENS;45.48
TEMP_MIN_MAX_MENS;45.44
ANO_2020;45.2
DIA_DA_SEMANA_dom;41.42
LAG_09;37.69
TEMP_MÉD_MAX_MENS;36.67
LAG_10;35.68
CURSOS_GRAD_NOTURNO;35.36
LAG_07;34.09
TEMP_MAX_ACC_MENS;33.85
MÊS_abr;28.35
TEMP_MÉD_MIN_MENS;23.82
CURSOS_GRAD_MATUTINO;22.67
MÊS_ago;22.42
PRECIPITAÇÃO_ACC_MENS;20.72
FERIADO;17.94
CURSOS_GRAD_VESPERTINO;16.74
PRECIPITAÇÃO_MAX_MENS;16.58
ANO_2023;16.33
TEMP_MIN_MIN_MENS;15.93
TEMP_MAX_MIN_MENS;15.74
TEMP_MIN_MÉD_MENS;15.53
TEMP_MAX_MÉD_MENS;15.12
CURSOS_TEC_INTEGRADO;14.98
TEMP_MAX_MAX_MENS;13.96
CURSOS_POS;13.27
CAMPUS_FOZ DO IGUAÇU;12.24
MÊS_jan;11.43
CURSOS_TEC_SUBSEQUENTE;9.76
ANO_2022;9.11
PRECIPITAÇÃO_MÉD_MENS;8.69
DIA_DA_SEMANA_sáb;8.68
DIA_DA_SEMANA_qua;8.12
DIA_DA_SEMANA_qui;7.86
CAMPUS_CAMPO LARGO;7.64
DIA_DA_SEMANA_ter;7.24
CAMPUS_CASCAVEL;6.96
DIA_DA_SEMANA_sex;6.17
MÊS_dez;6.03
ANO_2021;5.9
CAMPUS_PALMAS;5.7
CAMPUS_UMUARAMA;5.24
MÊS_jul;4.97
CAMPUS_ARAPONGAS;4.91
MÊS_nov;4.57
DIA_DA_SEMANA_seg;4.49
CAMPUS_PARANAVAÍ;4.33
CAMPUS_PARANAGUÁ;3.98
CAMPUS_CAPANEMA;3.84
CAMPUS_ASSIS CHATEAUBRIAND;3.67
MÊS_jun;3.49
CAMPUS_TELÊMACO BORBA;3.36
CAMPUS_IVAIPORÃ;3.31
ANO_2019;2.41
CAMPUS_JACAREZINHO;2.39
MÊS_mai;2.23
ANO_2016;1.92
MÊS_set;1.91
ANO_2017;1.83
MÊS_out;1.79
ANO_2018;1.73
CAMPUS_PITANGA;1.18
CAMPUS_COLOMBO;1.06
CAMPUS_IRATI;1.04
CAMPUS_JAGUARIAÍVA;0.96
CAMPUS_UNIÃO DA VITÓRIA;0.94
CAMPUS_CURITIBA;0.79
CAMPUS_BARRACÃO;0.72
CAMPUS_LONDRINA - CENTRO;0.7
CAMPUS_GOIOERÊ;0.61
CAMPUS_PINHAIS;0.55
CAMPUS_ASTORGA;0.54
CURSOS_TEC_CONCOMITANTE;0.46
CAMPUS_QUEDAS DO IGUAÇU;0.41
CAMPUS_CORONEL VIVIDA;0.33
ANO_2015;0.24
GREVE;0.08
CAMPUS_LONDRINA - NORTE;0.08
ANO_2014;0.0
PRECIPITAÇÃO_MIN_MENS;0.0
ANO_2024;0.0
